Title,Company,Description,Size,URL
Rotational Software Engineer,Meta,"Rotational Software Engineer Meta is seeking talented full-stack Software Engineers who are interested in an opportunity to join our one-year Rotational Engineering Program, helping us build applications & systems that will scale the company and make the world more open and connected. The Program is designed to offer experienced engineers a one-year rotation through different Meta engineering projects to develop engineering skills and gain meaningful experiences for the rest of their career. At the end of the program, successful participants will be invited to apply for a full-time position at the company.Meta is committed to increasing the diversity of representation among our Computer Scientists and Software Engineers. We build products to connect the world, and this means we need teams that understand and reflect a broad range of experiences, backgrounds, identities, abilities and many other characteristics. The Rotational Engineering Program is open to all qualified candidates. We strongly encourage candidates who have non-traditional career paths to apply, including, but not limited to candidates from non-tech industries, candidates without traditional Computer Science degrees and/or who are self-taught, candidates starting second careers, re-entering the workforce, and those who have attended bootcamp-style programming courses.Rotational Software Engineer Responsibilities:Full-stack product, systems, and mobile development with a variety of languages such as C++, Java, PHP, JavaScript, Kotlin, Objective-C, Swift, etc.Work closely with product management and UX design teams to define and refine research specificationsDesign and develop front-end interfaces, underlying APIs, and backend systems across a number of programming languages with focus on JavaScript, React and PHP (Hack)Develop a strong understanding of relevant product area, codebase, and/or systemMaster Meta’s development standards from developing to releasing code in order to take on tasks and projects with increasing levels of complexityCommunication skills: consistently seek out and give feedbackMinimum Qualifications:2+ years experience building software solutions in a corporate or start-up engineering environment, or equivalent, using an industry-standard language (e.g. JavaScript, PHP, Python, Ruby, C++ and/or Java)Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employmentCurrently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.Meta is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Meta participates in the E-Verify program in certain locations, as required by law. Please note that Meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment.Meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.                                                                    ","10,001+ employees",https://www.linkedin.com/jobs/view/rotational-software-engineer-at-meta-3811301555?position=1&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=ujo7uAYb6G4xoD1BK6CHNw%3D%3D&trk=public_jobs_jserp-result_search-card
Full Stack Software Engineer - Web,Sundae.fm,"Welcome to Sundae!Sundae is a music technology company that builds fun and creative workflow tools for the next generation of music creators and their teams. Teams and artists of all sizes can use our software to manage music projects, rollouts, and collaborate globally. Our vision at Sundae is to become the new wave for music creators and professionals to manage their work.What Were Looking ForIdeally, you have stellar experience in:React TypescriptPlusExperience with ReduxPostgresIf you made it this far, you're prob a great fit! What's Next? -** Here are the last 2 steps:*Send us your resume to hello @ sundae fm Whats your favorite music album and why? Please no agencies .                                                                    ",2-10 employees,https://www.linkedin.com/jobs/view/full-stack-software-engineer-web-at-sundae-fm-3884300733?position=2&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=kmvAMIQhemUP2h%2FCGHx0Dg%3D%3D&trk=public_jobs_jserp-result_search-card
Full-Stack Engineer,Sprig,"About SprigSprig is a user insights platform backed by top-tier investors, including Andreessen Horowitz, Accel, and First Round Capital. Our suite of products enable our customers to combine traditional analytics with qualitative product data so they can build an exceptional product experience for their users. Leading tech companies like Notion, Square, Dropbox and Figma use Sprig to build best-in-class, customer centric products. Most recently, we’ve partnered with Calendly and TripAdvisor and continue to see exceptional growth and diversity within our customer base.At Sprig, we pride ourselves on being a people-first company, where your contributions truly matter and are valued. We were recently awarded by Fortune as top 50 best places to work in the US, and top 50 Places to Work in the Bay Area by Built In. Come join our mission of building products users love and have a real impact on Sprig’s future. More about our mission, values, and why it's a great time to join us can be found here.About this RoleWe’re looking to quickly grow our engineering team and are looking for an experienced Full-Stack Engineer to own and develop new features for our customer dashboard.This role is based in San Francisco or New York City with 2-3 days working in the office.Your ImpactWork as part of our highly experienced engineering team and jump in at the beginning to develop a world-class product.Own the development of our public-facing sites, including the primary customer dashboard.Be responsible for building and maintaining high-quality, production code.Design, build, and optimize the frontend UI and backend APIs required for the product.Be part of the product roadmap discussions as we grow and evolve the product.Stay informed with industry best practices and provide guidance, inspiration, and mentorship in engineering excellence for cross-functional colleagues.Your Strengths3+ years of experience working on production sites that are customer-facing and critical to the business.Proven track record of writing high-quality software that has been deployed to production, following software development best practices.Passion for learning, building, and moving fast. With an ambitious plan for the next 12 months, we highly value your ability and appetite for learning.Has been an efficient technical collaborator across teams in the past where they have helped other team members be successful, and has the desire to continue doing so.Excellent written and verbal communication skills to document and explain the technical work that has been done.Experience with some of the technologies we use is desirable. Sprig's infrastructure runs on AWS and is built with React, Node.js, ClickHouse, and Postgres.Benefits & PerksCompetitive SalaryCompetitive Employee Equity401K ProgramMedical, Dental, and Vision BenefitsFSA/HSA Benefit$150/month Commuter BenefitAdditional Wellbeing BenefitsFlexible Paid Time OffPaid Parental LeaveProfessional Development StipendHybrid Office PolicyLunch available 5x a week in SF and NYCDinner available 2x a week in SFCompany Sponsored Social EventsOur Commitment to Diversity and InclusionWe prioritize diversity within our team and value different perspectives, educational backgrounds, and life experiences. We encourage people from underrepresented backgrounds to apply.We’re “Great Place to Work” Certified! Check out our profile.Employee Pay DisclosureThe base salary range for this full-time position is $140,000 - $160,000 + Equity + Benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all locations (San Francisco, CA; New York, NY). Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your Recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in postings reflect the base salary only, and do not include equity or benefits.***Please beware of scammers who are posing as Sprig and Sprig team members. Our recruiters use @sprig.com email addresses exclusively. We do not conduct interviews via text or instant message, and we do not ask candidates to purchase equipment through us or solicit money from you. If you have been contacted by someone claiming to be from a different domain about a job offer, please report it as potential job fraud to law enforcement and contact us here.***                                                            ",51-200 employees,https://www.linkedin.com/jobs/view/full-stack-engineer-at-sprig-3938851801?position=3&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=C61fYHLYbmNsq6lPF1xZ9Q%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Software Engineer,Pronto,"We are seeking a skilled and motivated Junior Software Engineer to join our dynamic team. This person sits at the intersection between hardware and software, working with engineers from both sides to create solutions. While covering a range of topics, this role is mostly focused on writing software to interface with hardware, automating processes, embedded software, and creating tests.What You’ll Work On:Automating linux device bring-up and configurationWriting scripts for hardware testing and creating debug/diagnostic toolingCreating tooling to record and update device configuration, serial numbers, etcReworking and organizing our device databaseBuilding device tracking dashboards for status, location, etcWorking with the electrical engineering team to create configuration and testing for new custom hardwareYour work will directly contribute to our fleet of autonomous trucks and auxiliary hardwareThis role has opportunities for growthYou'll Achieve This By:Solving challenging systems problemsWriting scripts for setup, configuration, and testingCreating and managing large databasesAutomating hardware and provisioning testingWorking with the team to deploy solutions in a mission critical environmentBuilding and maintaining core software infrastructureCreating efficient processes for device provisioning and testingRequirements:Internship or similar software experience highly suggestedProgramming experience with pythonLinux environment and bash scripting experienceExperience with AWS is a plusExperience interfacing with hardware is a plusAble to create and debug software systems: build maintainable code with good diagnostics that scalesExcellent at handling ambiguous or undefined problemsExcellent communication and organizational skillsEffective collaboration with members of the teamExperience or general interest in embedded softwareAttention to detail and overall fastidiousness a huge plusOur Stack:This part of the stack is mostly bash and pythonCompensation and BenefitsThis is a full time position based in San Francisco, CA, with a salary range between $90,000 - $120,000. Actual compensation offered will depend on work experience, education, skill level, and/or other business and organizational needs. Please note that it is not typical for an individual to be hired at or near the top of the range. Pronto reserves the right to modify this compensation range at any time.In addition to your salary, as a full-time Pronto employee you are eligible for the following benefits: Medical, Dental, Vision, Disability, and Life Insurance 401k with matching contributions Equity Sick Time, Unlimited Vacation, and Paid Holidays Paid Parental Leave Pre-Tax Commuter Benefit Plan Team lunch in our SOMA office every Tuesday and ThursdayPronto is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/junior-software-engineer-at-pronto-3941343616?position=4&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=lHKmrvkR7H2y8EoZcu8ssQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Frontend,Ever,"About Ever:Ever is a fast-moving, venture-backed marketplace and technology business, building the next industry-defining company in the electric mobility and household electrification space. Our mission is to help consumers and businesses toward a clean energy future.We are starting by building the best possible experience for buying and selling electric vehicles. Our retail and marketplace platform (evercars.com) was launched in late 2023, and our early momentum has been very strong.As a small but strong early-stage team, we are looking to onboard world-class engineers, product designers, and operators to key roles in our core team. You'll work closely with the founders and the rest of our team, taking strong ownership of key initiatives and building the leading marketplace and operations products that help us fulfill our mission.What You'll Do:You'll work alongside the CTO and engineering team to build a generational EV platform to serve consumers on their journey from EV's to broader electrification initiatives.Work directly with the founders, users, and customers to create positive product feedback loops and define engineering roadmaps.Build exceptional user experiences for our fast growing EV marketplaceLead, grow, and build our team with an engineering first culture.Qualifications & Fit:3+ years of relevant software engineering experience in a fast paced environmentPassion for EVs, climate, & unsolved challenges in the shift towards electric mobilityTechnical skills:3+ years of experience delivering, scaling, and owning highly successful and innovative productsFamiliarity with technologies on our frontend: (React, Typescript, Tailwind CSS, React-Query)Experience working on asset-heavy frontend applications and applying best practices for SSR & SEOBenefits:Competitive salary and equityUnlimited PTOHealth, dental, and visionEver is an equal opportunity employer. We encourage applicants from all backgrounds and experiences to apply.                                                            ",11-50 employees,https://www.linkedin.com/jobs/view/software-engineer-frontend-at-ever-3927302676?position=5&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=pOH6jW83m9T2pGCbao6D%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Lever Middleware Test Company 2,"Disproportionately impact a product-driven startup that is transforming the way companies grow their teams. We’re building next-generation collaboration software that helps companies to bring more transparency, participation, and engagement to their hiring.Jump into an empowered role doing end-to-end feature development. You’ll be familiar with all parts of our stack—most notably our homegrown, open source web framework, DerbyJS. Not only will you learn how to develop on a modern, real-time framework, you’ll be building enterprise-grade software on top of it. To do so, you’ll exercise judgment in making tradeoffs between design and feasibility. Choose when to hack and when to invest. You’ll engineer your features to be scalable and resilient in a large, single-page app.Lever is an incredibly design-driven company and you’ll be an active voice in shaping our product and user experience, down to the last detail when shipping your features. Our close-knit, cross-functional team is a great chance to grow your knowledge of different domains. Level-up your knowledge of design theory and UX by working closely with our Design and Customer Success teams. Share your knowledge with them so that they’re more empowered to hook up their front-end code to to support users with more internal tools.You’ll join a team where everyone—including you—is knowledgeable about development patterns and opinionated about product development process. We pitch in to help when things are crazy. We build tools and scripts to ease the lives of our fellow developers. And we’re passionate about lots of random things, and share those passions with each other.Core TechnologiesJavaScript, Node.js, MongoDB, Redis, Solr, Elasticsearch, DerbyJS, ShareJS, IMAP, SMTP, Gmail and Google Calendar, Microsoft Exchange, AWS                                                                    ",Public Company,https://www.linkedin.com/jobs/view/software-engineer-at-lever-middleware-test-company-2-3787339093?position=6&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=e27uc41w6LUfYXJWnw9rjg%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Frontend",OpenAI,"About The TeamThe Applied team works across research, engineering, product, and design to bring OpenAI’s technology to the world.We seek to learn from deployment and broadly distribute the benefits of AI, while ensuring that this powerful tool is used responsibly and safely. We aim to make our innovative tools globally accessible, transcending geographic, economic, or platform barriers. Our commitment is to facilitate the use of AI to enhance lives, fostered by rigorous insights into how people use our products.About The RoleWe are looking for an experienced frontend engineer to join our Applied Engineering team. You’ll work in a deeply iterative, collaborative, fast-paced environment to bring our technology to millions of users around the world, and ensure it’s delivered with safety and reliability in mind. We value engineers who are self-starters, care deeply about the end user experience, and take pride in building products to solve customer needs.In This Role, You WillPartner closely with research, product, and design to bring new features and research capabilities to the worldDesign and build efficient and reusable front-end systems that drive complex web applicationsPlan and deploy front end infrastructure necessary to build, test, and deploy our productsCreate a diverse and inclusive culture that makes all feel welcome while enabling radical candor and the challenging of group thinkYou Might Thrive In This Role If YouHave experience building production web apps at scale using TypeScript, React and other web technologiesAre comfortable building complex applications and systems from the ground up, with limited development infrastructure available to youHave a voracious and intrinsic desire to learn and fill in missing skills. An equally strong talent for sharing that information clearly and concisely with othersAre comfortable with ambiguity and rapidly changing conditions. You view changes as an opportunity to add structure and order when necessaryAbout OpenAIOpenAI is an AI research and deployment company dedicated to ensuring that general-purpose artificial intelligence benefits all of humanity. We push the boundaries of the capabilities of AI systems and seek to safely deploy them to the world through our products. AI is an extremely powerful tool that must be created with safety and human needs at its core, and to achieve our mission, we must encompass and value the many different perspectives, voices, and experiences that form the full spectrum of humanity.We are an equal opportunity employer and do not discriminate on the basis of race, religion, national origin, gender, sexual orientation, age, veteran status, disability or any other legally protected status.For US Based Candidates: Pursuant to the San Francisco Fair Chance Ordinance, we will consider qualified applicants with arrest and conviction records.We are committed to providing reasonable accommodations to applicants with disabilities, and requests can be made via this link.OpenAI Global Applicant Privacy PolicyAt OpenAI, we believe artificial intelligence has the potential to help people solve immense global challenges, and we want the upside of AI to be widely shared. Join us in shaping the future of technology.                                                                    ",201-500 employees,https://www.linkedin.com/jobs/view/software-engineer-frontend-at-openai-3915651521?position=7&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=Lfpn6yMQocf6vdxB%2FN%2BxFg%3D%3D&trk=public_jobs_jserp-result_search-card
0-1 Software Engineer,Wispr AI,"As a software engineer at Wispr, you'll build the software platform for the next generation of consumer electronics. You'll be working across the stack (frontend, backend, mobile, occasional dev-ops). Hard requirement: Send us your best personal projects.We value being action-biased and a hacker mindset to build things quickly. We use the best and latest tools to get the job done. We maintain beautifully organized codebases with minimal technical debt. We work with a pragmatic outlook at the frontiers of technology, bringing it to the hands of millions of people. If that interests you, drop us a note.Let's build magic.Core Job ResponsibilitiesBuild Wispr's software platform across devicesIterate fast with user feedback to build sticky experiencesSetup best engineering practices (testing, abstractions, design docs)Build software for the latest Wispr hardware as it rolls off the pressRequired Knowledge/Skills, Education, And ExperienceBuilt full-stack personal projects or contributed to open source (send your best)Care towards code quality and UXMS or BS in computer science or related engineering fieldProficient in Python, React, AWS (or equivalent)Strong programming practices and high-throughput of code across the stackOutstanding team player and communicatorNice to have Knowledge/Skills, Education, And ExperienceLow level systems hacking experience, parallel programming experienceExperience working on data pipelines for MLExperience with audio, bio-signals, or NLPExperience with data science, visualizations, and MLThe compensation band is an estimate and depends on experience. The total compensation for this position may also include stock options and relocation reimbursements.                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/0-1-software-engineer-at-wispr-ai-3730583855?position=8&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=33qZ9I2vokHXiNcCP4pdYA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Entry Level,Swift Solar,"About the companyAt Swift Solar, we're building the future of solar. We believe that solar energy has vast untapped potential to reduce inequity and protect planetary health in the face of global climate change. We believe that today's solar technology is good but not good enough. And we believe that what we build today should serve humanity forever.Swift's perovskite tandem technology breaks through the performance limits of existing solar technologies. By making solar better—more efficient, more affordable, and more widely accessible—we are helping to create a world where all energy is clean energy.Swift Solar is a mission-focused startup funded by committed investors. We know it's a long journey to take a new clean energy technology to market, and we're in it for the long haul together. If you join us, you'll play a meaningful role in taking Swift's impact to the next level.A day in the lifeAs a Software Engineer at Swift, you will be a key member of the Data Systems team, building and maintaining our user-facing tools and data infrastructure. You'll work on responsive, high-performing user interfaces to help researchers explore and analyze hundreds of millions of data points. You'll also help keep Swift's data systems running smoothly and create features to improve the data collection user experience.On a typical day, you will develop and test full stack code to improve our experiment coordination tools, or improve the pipeline system which processes and sends data to our Django web server. Organizing your code and documenting functionality rigorously is a key part of the job, as is testing and improving the systems you build. You will contribute to our existing data systems infrastructure and engage in discussions with R&D engineers and scientists to better understand priorities and needs.As an early hire, you will help craft Swift's culture and technical direction. As our team and operations (and datasets) grow, we'll expect you to be involved in building new tools and frameworks to help keep everyone as productive as possible. You'll find many opportunities to grow your own skills and capabilities at Swift, and we encourage you to take full advantage of them.You might be a good fit if you... Have an undergraduate degree in CS or a related field, or proof of strong proficiency by contributions to open-source projects or other portfolio projectsCompleted or participated in full stack projects with Javascript/HTML/CSS frontends or Python backendsWrite well-documented, organized, and efficient codeHave experience with testing frameworks and test-driven developmentHave experience working with other developers on a large project codebase using gitConsider yourself to be kind, conscientious, empathetic, caring, and tactfulA very strong candidate might bring one or more of the following...Strong language fluency in JavaScript/TypeScript, Python, or C++A proclivity to tackle problems and improve ineffective workflowsEffective scientific data analysis and presentation skillsExcellent interdisciplinary communicationThe logisticsCompensation: Competitive package including salary, equity, and benefitsExpected Pay Range: $100k-$130kIdeal start date: February – April 2024Job type: Full-timeLocation: San Carlos, CA (Swift Solar HQ), Part-time remote OKWhat you'll love about SwiftCulture: We live by our values. You'll feel right at home if you want to serve the future, get better every day, respect your colleagues, and have fun.Health benefits: We cover 100% of monthly premiums for HMO and PPO group healthcare plan options and 75% of dental and vision insurance costs for employees.Your future, supported: We offer 401(k) plans and match 100% of your retirement contributions up to 4% of your earnings.Clean commuter benefits: We're all about clean energy. We make it easy and cheap to ride your bike or take public transit to work.Growth mindset: You'll grow your skills, your network, and your perspective at Swift. We'll support you in attending conferences and taking online courses, as long as you share your new insights with the team.Swift is an equal opportunity employer. We value an inclusive work environment and welcome team members of all backgrounds and perspectives.Even if this isn't the right job for you, we're always looking for good people. Please check out other career opportunities on our website and email us at careers@swiftsolar.com with any questions. And if you have a friend who would be a perfect fit, send them this link. Thanks!                                                                    ",11-50 employees,https://www.linkedin.com/jobs/view/software-engineer-entry-level-at-swift-solar-3836826307?position=9&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=2V6MbfbMNz5bjyQfr5wf5Q%3D%3D&trk=public_jobs_jserp-result_search-card
Backend Software Engineer,Ponto,"Ponto is building the financial infrastructure to power the next generation of wallets, banks, and financial services by integrating local economies into the global financial system. Our mission is to power and provide access to the best financial experiences anywhere in the world, enabling the vast population of unbanked individuals across the globe to participate in the global economy. We're looking for backend software engineers with a passion for building reliable and scalable systems that power great products. Our team is diverse, empathetic, and mission-driven. Our ideal teammate is one who shares our drive to effect positive change, with a willingness to jump into any aspect of our system and our work. Although experience in fintech, blockchain, or crypto is valuable, you don't need to have any experience in these areas to join us! Expected compensation range 185K-250K.In Your Role At Ponto, You WillDesign and build highly available, resilient, and performant production systems that power financial services for a large number of end-users. Security will be at the forefront of how you design and operate these systems.Design and implement data collection and manipulation pipelines.Design well-abstracted and documented APIs for our customers and partners.Rigorously develop and implement automated testing to cover the full gamut of functionality in our systems, including unit tests, integration tests, and end-to-end tests.Setup and manage CI/CD pipelines and other developer tooling to increase your team's engineering velocity.Learn your way around public cloud providers and their numerous service offerings.Work with a diverse, talented, and kind group of people with many different roles in performing all of the above.QualificationsHands-on experience with distributed systems such as Spark, Kafka, or Cassandra, but no experience with a specific technology is required.Strong coding skills in any object-oriented language. We believe languages can be learned and are far more interested in your general engineering abilities.An inclusive, collaborative, and respectful attitude, along with great critical thinking and problem solving abilities.8+ years of relevant experienceWe OfferBest-in-class benefits packageMeaningful and significant equity in a fast-growing startupFlexible vacation policy, with an annual minimumParental LeaveRelocation supportGenerous wellness package that includes gym membershipsIn office, we pay for meals for our employees so you can focus on workA world-class environment in which to learn and do your best work                                                            ",11-50 employees,https://www.linkedin.com/jobs/view/backend-software-engineer-at-ponto-3647560521?position=10&pageNum=0&refId=2IkSNaBxRXYP8TX42KWjEQ%3D%3D&trackingId=FLLQAW68CcYOnScIb2R0KQ%3D%3D&trk=public_jobs_jserp-result_search-card
